IdMeta,Descricao,OrdemExibicao,StComum,IdDisciplina,IdFaseNota,IdTipoMeta
23,DESEMPENHO DO ALUNO,4,False,1,3,1
24,DESEMPENHO DO ALUNO,1,True,4,3,1
25,DESEMPENHO DO ALUNO,1,True,16,3,1
27,DESEMPENHO DO ALUNO,4,False,1,1,1
28,DESEMPENHO DO ALUNO,1,True,4,1,1
29,DESEMPENHO DO ALUNO,1,True,16,1,1
30,DESEMPENHO DO ALUNO,4,False,1,2,1
31,DESEMPENHO DO ALUNO,1,True,4,2,1
32,DESEMPENHO DO ALUNO,1,True,16,2,1
36,DESEMPENHO DO ALUNO,4,False,1,4,1
37,DESEMPENHO DO ALUNO,1,True,4,4,1
38,DESEMPENHO DO ALUNO,1,True,16,4,1
39,DESEMPENHO DO ALUNO,4,False,1,5,1
40,DESEMPENHO DO ALUNO,1,True,4,5,1
41,DESEMPENHO DO ALUNO,1,True,16,5,1
42,DESEMPENHO DO ALUNO,4,False,1,6,1
43,DESEMPENHO DO ALUNO,1,True,4,6,1
44,DESEMPENHO DO ALUNO,1,True,16,6,1
45,DESEMPENHO DO ALUNO,4,False,1,7,1
46,DESEMPENHO DO ALUNO,1,True,4,7,1
47,DESEMPENHO DO ALUNO,1,True,16,7,1
48,DESEMPENHO DO ALUNO,4,False,1,8,1
49,DESEMPENHO DO ALUNO,1,True,4,8,1
50,DESEMPENHO DO ALUNO,1,True,16,8,1
51,DESEMPENHO DO ALUNO,4,False,1,9,1
52,DESEMPENHO DO ALUNO,1,True,4,9,1
53,DESEMPENHO DO ALUNO,1,True,16,9,1
54,DESEMPENHO DO ALUNO,4,False,1,10,1
55,DESEMPENHO DO ALUNO,1,True,4,10,1
56,DESEMPENHO DO ALUNO,1,True,16,10,1
57,DESEMPENHO DO ALUNO,4,False,1,11,1
58,DESEMPENHO DO ALUNO,1,True,4,11,1
59,DESEMPENHO DO ALUNO,1,True,16,11,1
60,DESEMPENHO DO ALUNO,4,False,1,12,1
61,DESEMPENHO DO ALUNO,1,True,4,12,1
62,DESEMPENHO DO ALUNO,1,True,16,12,1
63,DESEMPENHO DO ALUNO,4,False,1,13,1
64,DESEMPENHO DO ALUNO,1,True,4,13,1
65,DESEMPENHO DO ALUNO,1,True,16,13,1
66,DESEMPENHO DO ALUNO,4,False,1,14,1
67,DESEMPENHO DO ALUNO,1,True,4,14,1
68,DESEMPENHO DO ALUNO,1,True,16,14,1
69,DESEMPENHO DO ALUNO,4,False,1,15,1
70,DESEMPENHO DO ALUNO,1,True,4,15,1
71,DESEMPENHO DO ALUNO,1,True,16,15,1
72,DESEMPENHO DO ALUNO,4,False,1,16,1
73,DESEMPENHO DO ALUNO,1,True,4,16,1
74,DESEMPENHO DO ALUNO,1,True,16,16,1
75,DESEMPENHO DO ALUNO,4,False,1,17,1
76,DESEMPENHO DO ALUNO,1,True,4,17,1
77,DESEMPENHO DO ALUNO,1,True,16,17,1
78,DESEMPENHO DO ALUNO,4,False,1,18,1
79,DESEMPENHO DO ALUNO,1,True,4,18,1
80,DESEMPENHO DO ALUNO,1,True,16,18,1
81,DESEMPENHO DO ALUNO,4,False,1,19,1
82,DESEMPENHO DO ALUNO,1,True,4,19,1
83,DESEMPENHO DO ALUNO,1,True,16,19,1
84,DESEMPENHO DO ALUNO,4,False,1,20,1
85,DESEMPENHO DO ALUNO,1,True,4,20,1
86,DESEMPENHO DO ALUNO,1,True,16,20,1
87,DESEMPENHO DO ALUNO,4,False,1,21,1
88,DESEMPENHO DO ALUNO,1,True,4,21,1
89,DESEMPENHO DO ALUNO,1,True,16,21,1
90,DESEMPENHO DO ALUNO,4,False,1,22,1
91,DESEMPENHO DO ALUNO,1,True,4,22,1
