IdCampo,NomeCampo,TabelaVinculada,Tipo,IdConjunto,StAtivo,OrdemExibicao,Agrupamento,Descricao_x,TipoExibicao,StExibirPaginaExternaCaptacao,StObrigatorio,StPreencimentoPortalWeb,StPreenchimentoFichaInscricao,NomeConjunto,IdElemento,Descricao_y
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4958,Bolsista Universitário *Formado (a)
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4878,Colégio Albert Einstein - SP
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4879,Colégio Alpha 
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4877,Colégio Arco Íris Evolução 
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4880,Colégio Franciscano Santa Clara 
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4881,Colégio Nogueira e Sonho de Criança 
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4953,Colégio Poliedro - SP
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4937,Concluiu o 3º EM
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4956,Cursinho Pré Vestibular (CPV)
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4882,EE Alexandre Rodrigues Nogueira 
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4883,EE Bairro Boa Vista 
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4884,EE Chácara Florida II
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4885,EE Dom Pedro Villas Boas de Souza 
21,Estabelecimento de Ensino,TbAluno,CONJUNTO,15.0,True,1,,,,False,True,0,0,TbAluno - 15,4886,EE Donizetti Aparecido Leite Professor 
