IdFaseNotaDisciplinaTurma,IdTurma_x,IdFaseNota,IdDisciplina_x,ConteudoProgramatico,IdPeriodo,IdSerie,NumeroFase,NomeFase,CabecBoletim,ImprimirBoletimNotaParcial,ImprimirBoletimNPNaoConfirmada,ImprimirBoletimNota,ImprimirBoletimFaltas,StFaseInformada,StCalcularDisciplinaComposta,IdFormulaComposicaoNota,IdFormulaNota,MediaMinimaAprovacao,ValorArredondamentoMedia,IdFormulaAprovacao,IdFormulaFalta,IdFaseNotaAprovacao,IdFaseNotaReprovacao,DataInicioExibicao,NumeroOrdemExibicao,NumeroSemanasLetivas,StCalcularSituacaoGeral,IdFormulaAprovacaoFrequencia,ValorNotaMaxima,DataInicialPeriodoAula,DataFinalPeriodoAula,StCalcDiscCompUtilizaFormulaFN,DataLimiteDigitacaoNota,NumeroDiasLetivos,StDispensarNotaAutomatica,TipoDispensaAutomatica,StConfirmarDispensaAutomatica,SituacaoReprovadoFrequencia,SituacaoAprovado,SituacaoReprovado,StFaseNotaSempreCalcular,TipoInformada,StPermiteProfessorImportarPadraoAvaliacao,StPermiteProfessorInserirEditarAvaliacao,StPermiteProfessorInserirBloco,IdDisciplina_y,IdTurma_y,IdAluno,Nota01,Nota02,Nota03,Nota04,Nota05,Nota06,Nota07,Nota08,Nota09,Nota10,IdFormulaComposicao,StNotaConfirmada,NotaFase,Faltas,QuantAulasDadas,_Nota01,StNotaFaseExibirDisp,IdFaseNotaAluno
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,657,8.0,,,,,,,,,,55.0,True,8.0,0.0,,,False,3109
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,661,8.5,,,,,,,,,,55.0,True,8.5,0.0,,,False,3110
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,686,5.0,,,,,,,,,,55.0,True,5.0,0.0,,,False,3111
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,696,0.0,,,,,,,,,,55.0,True,0.0,0.0,,,False,3112
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,698,3.0,,,,,,,,,,55.0,True,3.0,0.0,,,False,3113
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,863,6.5,,,,,,,,,,55.0,True,6.5,0.0,,,False,3114
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,900,0.0,,,,,,,,,,55.0,True,0.0,0.0,,,False,3115
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,934,7.5,,,,,,,,,,55.0,True,7.5,0.0,,,False,3116
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,937,3.0,,,,,,,,,,55.0,True,3.0,0.0,,,False,3117
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,False,False,False,False,True,False,55.0,,5.0,,50.0,,135.0,,,1,,False,,10.0,,,False,,,False,,False,,,R,False,FormulaComposicao,True,True,True,4,410,1074,0.0,,,,,,,,,,55.0,True,0.0,0.0,,,False,3118
